[1.052] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[1.056] createFlashParams():  STM32 device: Flash size =1024
[1.162] STM32_AppReset():  Enter STM32_AppReset() function 
[1.273] STM32_AppReset():  NVIC_DFSR_REG = 0x00000009
[1.274] STM32_AppReset():  NVIC_CFGFSR_REG = 0x00000000
[1.275] STM32_AppReset():  XPSR = 0x01000000
[1.276] Device_Initialise():  ST_LINK Major version =2 Jtag version =27
[1.276] Device_Initialise():  ST_LINK VID=1155 PID=14155
[1.277] Device_Initialise():  ST_LINK device status: HALT_MODE
[1.277] Device_Initialise():  ST_LINK detects target voltage =3.25 Volt
[1.277] initServerContext():  ST-Link device initialization OK
[1.282] WaitConnection():  Waiting for connection on port 61234...
[2.048] WaitConnection():  Accepted connection on port 61234...
[2.049] Device_GetStatus():  ST_LINK device status: HALT_MODE
[2.175] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002ff4 
[2.219] set_parallelism_mode():  FuncEntry
[2.219] unlock_flash_f2_prg_and_erase_ctrler():  FuncEntry
[2.219] flash_f2_wait_for_last_operation():  FuncEntry
[2.219] flash_f2_get_busy_status():  FuncEntry
[2.220] flash_f2_get_busy_status():  FuncExit
[2.220] flash_f2_wait_for_last_operation():  FuncExit
[2.225] set_parallelism_mode():  FuncExit
[2.225] lock_flash_f2_prg_and_erase_ctrler():  FuncEntry
[2.225] flash_f2_wait_for_last_operation():  FuncEntry
[2.225] flash_f2_get_busy_status():  FuncEntry
[2.226] flash_f2_get_busy_status():  FuncExit
[2.226] flash_f2_wait_for_last_operation():  FuncExit
[2.229] lock_flash_f2_prg_and_erase_ctrler():  FuncExit
[2.232] handleFlashPacket():  Flash erase: Address= 0x8000000, Length=32768 
[2.232] flash_page_erase():  FuncEntry
[2.232] unlock_flash_f2_prg_and_erase_ctrler():  FuncEntry
[2.232] flash_f2_wait_for_last_operation():  FuncEntry
[2.232] flash_f2_get_busy_status():  FuncEntry
[2.233] flash_f2_get_busy_status():  FuncExit
[2.233] flash_f2_wait_for_last_operation():  FuncExit
[2.237] flash_f2_wait_for_last_operation():  FuncEntry
[2.237] flash_f2_get_busy_status():  FuncEntry
[2.238] flash_f2_get_busy_status():  FuncExit
[2.238] flash_f2_wait_for_last_operation():  FuncExit
[2.239] get_f2_flash_error_status():  FuncEntry
[2.240] flash_f2_wait_for_last_operation():  FuncEntry
[2.240] flash_f2_get_busy_status():  FuncEntry
[2.241] flash_f2_get_busy_status():  FuncExit
[2.241] flash_f2_wait_for_last_operation():  FuncExit
[2.242] get_f2_flash_error_status():  FuncExit
[2.242] flash_f2_wait_for_last_operation():  FuncEntry
[2.243] flash_f2_get_busy_status():  FuncEntry
[2.243] flash_f2_get_busy_status():  FuncExit
[2.243] flash_f2_wait_for_last_operation():  FuncExit
[2.247] flash_f2_wait_for_last_operation():  FuncEntry
[2.247] flash_f2_get_busy_status():  FuncEntry
[2.248] flash_f2_get_busy_status():  FuncExit
[2.248] flash_f2_get_busy_status():  FuncEntry
[2.249] flash_f2_get_busy_status():  FuncExit
[2.249] flash_f2_get_busy_status():  FuncEntry
[2.250] flash_f2_get_busy_status():  FuncExit
[2.250] flash_f2_get_busy_status():  FuncEntry
[2.251] flash_f2_get_busy_status():  FuncExit
[2.251] flash_f2_get_busy_status():  FuncEntry
[2.252] flash_f2_get_busy_status():  FuncExit
[2.252] flash_f2_get_busy_status():  FuncEntry
[2.253] flash_f2_get_busy_status():  FuncExit
[2.253] flash_f2_get_busy_status():  FuncEntry
[2.254] flash_f2_get_busy_status():  FuncExit
[2.254] flash_f2_get_busy_status():  FuncEntry
[2.255] flash_f2_get_busy_status():  FuncExit
[2.255] flash_f2_get_busy_status():  FuncEntry
[2.256] flash_f2_get_busy_status():  FuncExit
[2.256] flash_f2_get_busy_status():  FuncEntry
[2.257] flash_f2_get_busy_status():  FuncExit
[2.257] flash_f2_get_busy_status():  FuncEntry
[2.258] flash_f2_get_busy_status():  FuncExit
[2.258] flash_f2_get_busy_status():  FuncEntry
[2.259] flash_f2_get_busy_status():  FuncExit
[2.259] flash_f2_get_busy_status():  FuncEntry
[2.260] flash_f2_get_busy_status():  FuncExit
[2.260] flash_f2_get_busy_status():  FuncEntry
